ZIP CODE	STATE	MSA No.	GPCI	GPCI	GPCI	County No.	MSA Name
00725	PR	41980	1.000	0.845	0.249	025	San Juan-Caguas-Guaynabo, PR MSA
00726	PR	41980	1.000	0.845	0.249	025	San Juan-Caguas-Guaynabo, PR MSA
00727	PR	41980	1.000	0.845	0.249	025	San Juan-Caguas-Guaynabo, PR MSA
00728	PR	38660	1.000	0.845	0.249	113	Ponce, PR MSA
00729	PR	41980	1.000	0.845	0.249	029	San Juan-Caguas-Guaynabo, PR MSA
00730	PR	38660	1.000	0.845	0.249	113	Ponce, PR MSA
00731	PR	38660	1.000	0.845	0.249	113	Ponce, PR MSA
00732	PR	38660	1.000	0.845	0.249	113	Ponce, PR MSA
00733	PR	38660	1.000	0.845	0.249	113	Ponce, PR MSA
00734	PR	38660	1.000	0.845	0.249	113	Ponce, PR MSA
00735	PR	21940	1.000	0.845	0.249	037	Fajardo, PR MSA
00736	PR	41980	1.000	0.845	0.249	035	San Juan-Caguas-Guaynabo, PR MSA
00737	PR	41980	1.000	0.845	0.249	035	San Juan-Caguas-Guaynabo, PR MSA
00738	PR	21940	1.000	0.845	0.249	053	Fajardo, PR MSA
00739	PR	41980	1.000	0.845	0.249	041	San Juan-Caguas-Guaynabo, PR MSA
00740	PR	21940	1.000	0.845	0.249	053	Fajardo, PR MSA
00741	PR	41980	1.000	0.845	0.249	069	San Juan-Caguas-Guaynabo, PR MSA
00742	PR	21940	1.000	0.845	0.249	037	Fajardo, PR MSA
00744	PR	41980	1.000	0.845	0.249	103	San Juan-Caguas-Guaynabo, PR MSA
00745	PR	41980	1.000	0.845	0.249	119	San Juan-Caguas-Guaynabo, PR MSA
00751	PR	99072	1.000	0.845	0.249	123	PR NONMETROPOLITAN AREA
00754	PR	41980	1.000	0.845	0.249	129	San Juan-Caguas-Guaynabo, PR MSA
00757	PR	99072	1.000	0.845	0.249	133	PR NONMETROPOLITAN AREA
00765	PR	99072	1.000	0.845	0.249	147	PR NONMETROPOLITAN AREA
00766	PR	38660	1.000	0.845	0.249	149	Ponce, PR MSA
00767	PR	41980	1.000	0.845	0.249	151	San Juan-Caguas-Guaynabo, PR MSA
00769	PR	99072	1.000	0.845	0.249	043	PR NONMETROPOLITAN AREA
00771	PR	41980	1.000	0.845	0.249	085	San Juan-Caguas-Guaynabo, PR MSA
00772	PR	41980	1.000	0.845	0.249	087	San Juan-Caguas-Guaynabo, PR MSA
00773	PR	21940	1.000	0.845	0.249	089	Fajardo, PR MSA
00775	PR	99072	1.000	0.845	0.249	049	PR NONMETROPOLITAN AREA
00777	PR	41980	1.000	0.845	0.249	077	San Juan-Caguas-Guaynabo, PR MSA
00778	PR	41980	1.000	0.845	0.249	063	San Juan-Caguas-Guaynabo, PR MSA
00780	PR	38660	1.000	0.845	0.249	113	Ponce, PR MSA
00782	PR	41980	1.000	0.845	0.249	045	San Juan-Caguas-Guaynabo, PR MSA
00783	PR	41980	1.000	0.845	0.249	047	San Juan-Caguas-Guaynabo, PR MSA
